REGIONAL,DISTRITO,POLITÉCNICO,SIGERD,FAMILIA PROFESIONAL,DENOMINACIÓN,MATRICULA
01 - BARAHONA,0103 - BARAHONA,06464 - INSTITUTO TECNOLOGICO FEDERICO HENRIQUEZ Y CARVAJAL,06464,INFORMÁTICA Y COMUNICACIONES,Desarrollo y administración de aplicaciones informáticas,109
01 - BARAHONA,0103 - BARAHONA,06464 - INSTITUTO TECNOLOGICO FEDERICO HENRIQUEZ Y CARVAJAL,06464,ELECTRICIDAD Y ELECTRÓNICA,Equipos Electrónicos,17
01 - BARAHONA,0103 - BARAHONA,06464 - INSTITUTO TECNOLOGICO FEDERICO HENRIQUEZ Y CARVAJAL,06464,ADMINISTRACIÓN Y COMERCIO,Gestión Administrativa y Tributaria,37
01 - BARAHONA,0103 - BARAHONA,06464 - INSTITUTO TECNOLOGICO FEDERICO HENRIQUEZ Y CARVAJAL,06464,ELECTRICIDAD Y ELECTRÓNICA,Instalaciones Eléctricas,23
01 - BARAHONA,0103 - BARAHONA,06464 - INSTITUTO TECNOLOGICO FEDERICO HENRIQUEZ Y CARVAJAL,06464,ADMINISTRACIÓN Y COMERCIO,Logística y Transporte,48
01 - BARAHONA,0103 - BARAHONA,06464 - INSTITUTO TECNOLOGICO FEDERICO HENRIQUEZ Y CARVAJAL,06464,TURISMO Y HOSTELERÍA,Servicios Gastronómicos,95
01 - BARAHONA,0103 - BARAHONA,06501 - POLITECNICO PROF. JUAN EMILIO BOSCH GAVIÑO,06501,SALUD,Cuidados de Enfermería y Promoción de la Salud,19
01 - BARAHONA,0103 - BARAHONA,06501 - POLITECNICO PROF. JUAN EMILIO BOSCH GAVIÑO,06501,IMAGEN PERSONAL,Peluquería,41
01 - BARAHONA,0103 - BARAHONA,06501 - POLITECNICO PROF. JUAN EMILIO BOSCH GAVIÑO,06501,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD,Servicios de Integración Social y Comunitarios,24
01 - BARAHONA,0103 - BARAHONA,06502 - POLITECNICO CRUCE DE PALO ALTO,06502,ADMINISTRACIÓN Y COMERCIO,Comercio y Mercadeo,52
01 - BARAHONA,0103 - BARAHONA,06502 - POLITECNICO CRUCE DE PALO ALTO,06502,INFORMÁTICA Y COMUNICACIONES,Soporte de Redes y Sistemas Informáticos,51
01 - BARAHONA,0103 - BARAHONA,06506 - POLITECNICO LA CIENAGA,06506,SALUD,Atención a Emergencias de la Salud,67
01 - BARAHONA,0103 - BARAHONA,06518 - CATOLICO TECNOLOGICO DE BARAHONA - LICATEBA,06518,SALUD,Atención a Emergencias de la Salud,80
01 - BARAHONA,0103 - BARAHONA,06518 - CATOLICO TECNOLOGICO DE BARAHONA - LICATEBA,06518,SALUD,Cuidados de Enfermería y Promoción de la Salud,78
01 - BARAHONA,0103 - BARAHONA,06518 - CATOLICO TECNOLOGICO DE BARAHONA - LICATEBA,06518,INFORMÁTICA Y COMUNICACIONES,Desarrollo y administración de aplicaciones informáticas,172
01 - BARAHONA,0103 - BARAHONA,06518 - CATOLICO TECNOLOGICO DE BARAHONA - LICATEBA,06518,ADMINISTRACIÓN Y COMERCIO,Gestión Administrativa y Tributaria,79
01 - BARAHONA,0103 - BARAHONA,06518 - CATOLICO TECNOLOGICO DE BARAHONA - LICATEBA,06518,TURISMO Y HOSTELERÍA,Servicios Gastronómicos,91
01 - BARAHONA,0103 - BARAHONA,14192 - POLITECNICO APOLONIA LEDESMA,14192,ADMINISTRACIÓN Y COMERCIO,Gestión Administrativa y Tributaria,46
01 - BARAHONA,0105 - VICENTE NOBLE,06495 - POLITECNICO HILDA DOTEL FLORIAN,06495,INFORMÁTICA Y COMUNICACIONES,Desarrollo y administración de aplicaciones informáticas,55
01 - BARAHONA,0105 - VICENTE NOBLE,06495 - POLITECNICO HILDA DOTEL FLORIAN,06495,SALUD,Farmacia y Parafarmacia,58
01 - BARAHONA,0105 - VICENTE NOBLE,06497 - POLITECNICO SAN JOSE,06497,SALUD,Cuidados de Enfermería y Promoción de la Salud,100
01 - BARAHONA,0105 - VICENTE NOBLE,06497 - POLITECNICO SAN JOSE,06497,INFORMÁTICA Y COMUNICACIONES,Desarrollo y administración de aplicaciones informáticas,102
01 - BARAHONA,0105 - VICENTE NOBLE,06497 - POLITECNICO SAN JOSE,06497,ADMINISTRACIÓN Y COMERCIO,Gestión Administrativa y Tributaria,83
01 - BARAHONA,0105 - VICENTE NOBLE,06498 - POLITECNICO MANUEL AURELIO TAVAREZ JUSTO (MANOLO),06498,INFORMÁTICA Y COMUNICACIONES,Desarrollo y administración de aplicaciones informáticas,59
01 - BARAHONA,0105 - VICENTE NOBLE,06498 - POLITECNICO MANUEL AURELIO TAVAREZ JUSTO (MANOLO),06498,ADMINISTRACIÓN Y COMERCIO,Gestión Administrativa y Tributaria,64
02 - SAN JUAN DE LA MAGUANA,0201 - COMENDADOR,13941 - POLITECNICO SAGRADO CORAZON DE JESUS FE Y ALEGRIA,13941,AGRARIA,Agropecuaria,60
02 - SAN JUAN DE LA MAGUANA,0201 - COMENDADOR,13941 - POLITECNICO SAGRADO CORAZON DE JESUS FE Y ALEGRIA,13941,SALUD,Cuidados de Enfermería y Promoción de la Salud,139
02 - SAN JUAN DE LA MAGUANA,0201 - COMENDADOR,13941 - POLITECNICO SAGRADO CORAZON DE JESUS FE Y ALEGRIA,13941,ADMINISTRACIÓN Y COMERCIO,Gestión Administrativa y Tributaria,92
02 - SAN JUAN DE LA MAGUANA,0201 - COMENDADOR,13941 - POLITECNICO SAGRADO CORAZON DE JESUS FE Y ALEGRIA,13941,ADMINISTRACIÓN Y COMERCIO,Logística y Transporte,79
02 - SAN JUAN DE LA MAGUANA,0202 - PEDRO SANTANA,06720 - POLITECNICO SAN FRANCISCO DE ASIS,06720,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Acondicionamiento Físico y Entrenamiento Deportivo,71
02 - SAN JUAN DE LA MAGUANA,0202 - PEDRO SANTANA,06720 - POLITECNICO SAN FRANCISCO DE ASIS,06720,ADMINISTRACIÓN Y COMERCIO,Comercio y Mercadeo,77
02 - SAN JUAN DE LA MAGUANA,0203 - LAS MATAS DE FARFAN,08198 - POLITECNICO PROF. MERCEDES MARIA MATEO,08198,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Acondicionamiento Físico y Entrenamiento Deportivo,66
02 - SAN JUAN DE LA MAGUANA,0203 - LAS MATAS DE FARFAN,08198 - POLITECNICO PROF. MERCEDES MARIA MATEO,08198,AGRARIA,Agropecuaria,44
02 - SAN JUAN DE LA MAGUANA,0203 - LAS MATAS DE FARFAN,08198 - POLITECNICO PROF. MERCEDES MARIA MATEO,08198,SALUD,Atención a Emergencias de la Salud,137
02 - SAN JUAN DE LA MAGUANA,0203 - LAS MATAS DE FARFAN,08198 - POLITECNICO PROF. MERCEDES MARIA MATEO,08198,ADMINISTRACIÓN Y COMERCIO,Comercio y Mercadeo,87
02 - SAN JUAN DE LA MAGUANA,0203 - LAS MATAS DE FARFAN,08198 - POLITECNICO PROF. MERCEDES MARIA MATEO,08198,INFORMÁTICA Y COMUNICACIONES,Desarrollo y administración de aplicaciones informáticas,21
02 - SAN JUAN DE LA MAGUANA,0203 - LAS MATAS DE FARFAN,08198 - POLITECNICO PROF. MERCEDES MARIA MATEO,08198,ELECTRICIDAD Y ELECTRÓNICA,Instalaciones Eléctricas,45
02 - SAN JUAN DE LA MAGUANA,0203 - LAS MATAS DE FARFAN,08198 - POLITECNICO PROF. MERCEDES MARIA MATEO,08198,INFORMÁTICA Y COMUNICACIONES,Soporte de Redes y Sistemas Informáticos,116
02 - SAN JUAN DE LA MAGUANA,0204 - EL CERCADO,08178 - POLITECNICO PROF. JUAN GONZALEZ MONTERO,08178,AGRARIA,Agropecuaria,76
02 - SAN JUAN DE LA MAGUANA,0204 - EL CERCADO,08178 - POLITECNICO PROF. JUAN GONZALEZ MONTERO,08178,SALUD,Cuidados de Enfermería y Promoción de la Salud,177
02 - SAN JUAN DE LA MAGUANA,0204 - EL CERCADO,08178 - POLITECNICO PROF. JUAN GONZALEZ MONTERO,08178,INFORMÁTICA Y COMUNICACIONES,Desarrollo y administración de aplicaciones informáticas,143
02 - SAN JUAN DE LA MAGUANA,0204 - EL CERCADO,08178 - POLITECNICO PROF. JUAN GONZALEZ MONTERO,08178,ADMINISTRACIÓN Y COMERCIO,Gestión Administrativa y Tributaria,64
02 - SAN JUAN DE LA MAGUANA,0204 - EL CERCADO,08184 - POLITECNICO PROF. URBANO BERIGUETE CASTILLO,08184,ADMINISTRACIÓN Y COMERCIO,Comercio y Mercadeo,61
02 - SAN JUAN DE LA MAGUANA,0204 - EL CERCADO,13435 - POLITECNICO PROF. FILOMENA DE OLEO MESA,13435,ADMINISTRACIÓN Y COMERCIO,Gestión Administrativa y Tributaria,59
02 - SAN JUAN DE LA MAGUANA,0204 - EL CERCADO,15659 - POLITECNICO SAN FRANCISCO DE ASIS FE Y ALEGRIA,15659,SEGURIDAD Y MEDIOAMBIENTE,Conservación y Protección Ambiental,42
02 - SAN JUAN DE LA MAGUANA,0204 - EL CERCADO,15659 - POLITECNICO SAN FRANCISCO DE ASIS FE Y ALEGRIA,15659,INFORMÁTICA Y COMUNICACIONES,Soporte de Redes y Sistemas Informáticos,47
02 - SAN JUAN DE LA MAGUANA,0205 - SAN JUAN ESTE,08131 - POLITECNICO PEDRO HENRIQUEZ UREÑA,08131,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Animación Físico-Deportiva y Socorrismo,44
"02 - SAN JUAN DE LA MAGUANA,0205 - SAN JUAN ESTE,08131 - POLITECNICO PEDRO HENRIQUEZ UREÑA,08131,""TEXTIL, CONFECCIÓN Y PIEL"",Confección y Patronaje,61"
02 - SAN JUAN DE LA MAGUANA,0205 - SAN JUAN ESTE,08131 - POLITECNICO PEDRO HENRIQUEZ UREÑA,08131,SALUD,Cuidados de Enfermería y Promoción de la Salud,213
02 - SAN JUAN DE LA MAGUANA,0205 - SAN JUAN ESTE,08131 - POLITECNICO PEDRO HENRIQUEZ UREÑA,08131,INFORMÁTICA Y COMUNICACIONES,Desarrollo y administración de aplicaciones informáticas,190
"02 - SAN JUAN DE LA MAGUANA,0205 - SAN JUAN ESTE,08131 - POLITECNICO PEDRO HENRIQUEZ UREÑA,08131,""FABRICACIÓN, INSTALACIÓN Y MANTENIMIENTO"",Electromecánica de Vehículos,40"
02 - SAN JUAN DE LA MAGUANA,0205 - SAN JUAN ESTE,08131 - POLITECNICO PEDRO HENRIQUEZ UREÑA,08131,ADMINISTRACIÓN Y COMERCIO,Gestión Administrativa y Tributaria,59
02 - SAN JUAN DE LA MAGUANA,0205 - SAN JUAN ESTE,08131 - POLITECNICO PEDRO HENRIQUEZ UREÑA,08131,MADERA Y MUEBLE,Muebles y Estructuras de Madera,42
02 - SAN JUAN DE LA MAGUANA,0205 - SAN JUAN ESTE,08131 - POLITECNICO PEDRO HENRIQUEZ UREÑA,08131,ELECTRICIDAD Y ELECTRÓNICA,Refrigeración y Acondicionamiento de Aire,33
02 - SAN JUAN DE LA MAGUANA,0205 - SAN JUAN ESTE,08131 - POLITECNICO PEDRO HENRIQUEZ UREÑA,08131,TURISMO Y HOSTELERÍA,Servicios Gastronómicos,100
02 - SAN JUAN DE LA MAGUANA,0205 - SAN JUAN ESTE,08146 - EVANGELICO LUCILLE RUPP,08146,INFORMÁTICA Y COMUNICACIONES,Desarrollo y administración de aplicaciones informáticas,21
02 - SAN JUAN DE LA MAGUANA,0205 - SAN JUAN ESTE,08146 - EVANGELICO LUCILLE RUPP,08146,ADMINISTRACIÓN Y COMERCIO,Gestión Administrativa y Tributaria,90
02 - SAN JUAN DE LA MAGUANA,0205 - SAN JUAN ESTE,08210 - POLITECNICO VALLEJUELO,08210,AGRARIA,Agropecuaria,70
02 - SAN JUAN DE LA MAGUANA,0205 - SAN JUAN ESTE,08210 - POLITECNICO VALLEJUELO,08210,ADMINISTRACIÓN Y COMERCIO,Gestión Administrativa y Tributaria,72
02 - SAN JUAN DE LA MAGUANA,0205 - SAN JUAN ESTE,08214 - CRISTIANO DE EDUCACION PARA EL DESARROLLO,08214,SALUD,Cuidados de Enfermería y Promoción de la Salud,46
02 - SAN JUAN DE LA MAGUANA,0205 - SAN JUAN ESTE,08214 - CRISTIANO DE EDUCACION PARA EL DESARROLLO,08214,INFORMÁTICA Y COMUNICACIONES,Desarrollo y administración de aplicaciones informáticas,66
02 - SAN JUAN DE LA MAGUANA,0205 - SAN JUAN ESTE,08214 - CRISTIANO DE EDUCACION PARA EL DESARROLLO,08214,ADMINISTRACIÓN Y COMERCIO,Gestión Administrativa y Tributaria,35
02 - SAN JUAN DE LA MAGUANA,0205 - SAN JUAN ESTE,13495 - POLITECNICO SAN ANDRES,13495,SALUD,Cuidados de Enfermería y Promoción de la Salud,74
02 - SAN JUAN DE LA MAGUANA,0205 - SAN JUAN ESTE,13495 - POLITECNICO SAN ANDRES,13495,INFORMÁTICA Y COMUNICACIONES,Desarrollo y administración de aplicaciones informáticas,73
02 - SAN JUAN DE LA MAGUANA,0205 - SAN JUAN ESTE,14370 - POLITECNICO SAN PABLO,14370,ADMINISTRACIÓN Y COMERCIO,Comercio y Mercadeo,86
"02 - SAN JUAN DE LA MAGUANA,0205 - SAN JUAN ESTE,14370 - POLITECNICO SAN PABLO,14370,""TEXTIL, CONFECCIÓN Y PIEL"",Confección y Patronaje,58"
02 - SAN JUAN DE LA MAGUANA,0205 - SAN JUAN ESTE,14370 - POLITECNICO SAN PABLO,14370,SALUD,Cuidados de Enfermería y Promoción de la Salud,154
02 - SAN JUAN DE LA MAGUANA,0205 - SAN JUAN ESTE,14370 - POLITECNICO SAN PABLO,14370,INFORMÁTICA Y COMUNICACIONES,Desarrollo y administración de aplicaciones informáticas,171
"02 - SAN JUAN DE LA MAGUANA,0205 - SAN JUAN ESTE,14370 - POLITECNICO SAN PABLO,14370,""FABRICACIÓN, INSTALACIÓN Y MANTENIMIENTO"",Electromecánica de Vehículos,11"
"02 - SAN JUAN DE LA MAGUANA,0206 - SAN JUAN OESTE,08165 - POLITECNICO PEDRO CORTO,08165,""FABRICACIÓN, INSTALACIÓN Y MANTENIMIENTO"",Electromecánica de Vehículos,62"
02 - SAN JUAN DE LA MAGUANA,0206 - SAN JUAN OESTE,08165 - POLITECNICO PEDRO CORTO,08165,ADMINISTRACIÓN Y COMERCIO,Logística y Transporte,63
02 - SAN JUAN DE LA MAGUANA,0206 - SAN JUAN OESTE,08224 - POLITECNICO JINOVA,08224,INDUSTRÍAS ALIMENTARIAS Y QUÍMICAS,Industrias Alimentarias,67
02 - SAN JUAN DE LA MAGUANA,0206 - SAN JUAN OESTE,08224 - POLITECNICO JINOVA,08224,TURISMO Y HOSTELERÍA,Servicios Gastronómicos,53
02 - SAN JUAN DE LA MAGUANA,0206 - SAN JUAN OESTE,13531 - POLITECNICO MONSEÑOR TOMAS FRANCISCO REILLY,13531,INFORMÁTICA Y COMUNICACIONES,Desarrollo y administración de aplicaciones informáticas,71
02 - SAN JUAN DE LA MAGUANA,0206 - SAN JUAN OESTE,13531 - POLITECNICO MONSEÑOR TOMAS FRANCISCO REILLY,13531,ELECTRICIDAD Y ELECTRÓNICA,Energías Renovables,74
02 - SAN JUAN DE LA MAGUANA,0206 - SAN JUAN OESTE,13531 - POLITECNICO MONSEÑOR TOMAS FRANCISCO REILLY,13531,MADERA Y MUEBLE,Muebles y Estructuras de Madera,95
02 - SAN JUAN DE LA MAGUANA,0206 - SAN JUAN OESTE,13531 - POLITECNICO MONSEÑOR TOMAS FRANCISCO REILLY,13531,ELECTRICIDAD Y ELECTRÓNICA,Refrigeración y Acondicionamiento de Aire,83
02 - SAN JUAN DE LA MAGUANA,0206 - SAN JUAN OESTE,13936 - POLITECNICO SAN MIGUEL FE Y ALEGRIA,13936,ADMINISTRACIÓN Y COMERCIO,Gestión Administrativa y Tributaria,101
02 - SAN JUAN DE LA MAGUANA,0206 - SAN JUAN OESTE,13936 - POLITECNICO SAN MIGUEL FE Y ALEGRIA,13936,ELECTRICIDAD Y ELECTRÓNICA,Instalaciones Eléctricas,83
02 - SAN JUAN DE LA MAGUANA,0206 - SAN JUAN OESTE,13936 - POLITECNICO SAN MIGUEL FE Y ALEGRIA,13936,INFORMÁTICA Y COMUNICACIONES,Soporte de Redes y Sistemas Informáticos,123
02 - SAN JUAN DE LA MAGUANA,0207 - HONDO VALLE,06729 - POLITECNICO NUESTRA SEÑORA DEL ROSARIO DE FATIMA,06729,AGRARIA,Agropecuaria,13
02 - SAN JUAN DE LA MAGUANA,0207 - HONDO VALLE,06729 - POLITECNICO NUESTRA SEÑORA DEL ROSARIO DE FATIMA,06729,SALUD,Cuidados de Enfermería y Promoción de la Salud,48
02 - SAN JUAN DE LA MAGUANA,0207 - HONDO VALLE,06729 - POLITECNICO NUESTRA SEÑORA DEL ROSARIO DE FATIMA,06729,ADMINISTRACIÓN Y COMERCIO,Gestión Administrativa y Tributaria,15
02 - SAN JUAN DE LA MAGUANA,0207 - HONDO VALLE,06729 - POLITECNICO NUESTRA SEÑORA DEL ROSARIO DE FATIMA,06729,INFORMÁTICA Y COMUNICACIONES,Soporte de Redes y Sistemas Informáticos,86
03 - AZUA,0301 - AZUA,06336 - POLITECNICO PROF. TERESA DIGNA FELIZ DE ESTRADA,06336,AGRARIA,Agropecuaria,75
03 - AZUA,0301 - AZUA,06336 - POLITECNICO PROF. TERESA DIGNA FELIZ DE ESTRADA,06336,INFORMÁTICA Y COMUNICACIONES,Desarrollo y administración de aplicaciones informáticas,85
"03 - AZUA,0301 - AZUA,06336 - POLITECNICO PROF. TERESA DIGNA FELIZ DE ESTRADA,06336,""FABRICACIÓN, INSTALACIÓN Y MANTENIMIENTO"",Electromecánica de Vehículos,53"
03 - AZUA,0301 - AZUA,06336 - POLITECNICO PROF. TERESA DIGNA FELIZ DE ESTRADA,06336,ELECTRICIDAD Y ELECTRÓNICA,Equipos Electrónicos,76
03 - AZUA,0301 - AZUA,06336 - POLITECNICO PROF. TERESA DIGNA FELIZ DE ESTRADA,06336,INDUSTRÍAS ALIMENTARIAS Y QUÍMICAS,Industrias Alimentarias,72
03 - AZUA,0301 - AZUA,06336 - POLITECNICO PROF. TERESA DIGNA FELIZ DE ESTRADA,06336,ELECTRICIDAD Y ELECTRÓNICA,Instalaciones Eléctricas,64
03 - AZUA,0301 - AZUA,13524 - SAGRADO CORAZON DE JESUS,13524,SALUD,Cuidados de Enfermería y Promoción de la Salud,43
03 - AZUA,0301 - AZUA,13524 - SAGRADO CORAZON DE JESUS,13524,INFORMÁTICA Y COMUNICACIONES,Soporte de Redes y Sistemas Informáticos,63
03 - AZUA,0302 - PADRE DE LAS CASAS,06350 - ANA MARIA ALCANTARA,06350,AGRARIA,Agropecuaria,16
03 - AZUA,0302 - PADRE DE LAS CASAS,06350 - ANA MARIA ALCANTARA,06350,SALUD,Cuidados de Enfermería y Promoción de la Salud,19
03 - AZUA,0302 - PADRE DE LAS CASAS,06350 - ANA MARIA ALCANTARA,06350,INFORMÁTICA Y COMUNICACIONES,Desarrollo y administración de aplicaciones informáticas,16
03 - AZUA,0302 - PADRE DE LAS CASAS,06358 - POLITECNICO JOSE FRANCISCO BOBADILLA,06358,AGRARIA,Agropecuaria,70
03 - AZUA,0302 - PADRE DE LAS CASAS,06358 - POLITECNICO JOSE FRANCISCO BOBADILLA,06358,SALUD,Cuidados de Enfermería y Promoción de la Salud,84
03 - AZUA,0302 - PADRE DE LAS CASAS,06358 - POLITECNICO JOSE FRANCISCO BOBADILLA,06358,INFORMÁTICA Y COMUNICACIONES,Desarrollo y administración de aplicaciones informáticas,89
03 - AZUA,0302 - PADRE DE LAS CASAS,06358 - POLITECNICO JOSE FRANCISCO BOBADILLA,06358,ADMINISTRACIÓN Y COMERCIO,Gestión Administrativa y Tributaria,80
03 - AZUA,0303 - SAN JOSE DE OCOA,07482 - POLITECNICO JOSE NUÑEZ DE CACERES,07482,ADMINISTRACIÓN Y COMERCIO,Comercio y Mercadeo,64
03 - AZUA,0303 - SAN JOSE DE OCOA,07482 - POLITECNICO JOSE NUÑEZ DE CACERES,07482,SALUD,Cuidados de Enfermería y Promoción de la Salud,53
03 - AZUA,0303 - SAN JOSE DE OCOA,07482 - POLITECNICO JOSE NUÑEZ DE CACERES,07482,INFORMÁTICA Y COMUNICACIONES,Desarrollo y administración de aplicaciones informáticas,153
03 - AZUA,0303 - SAN JOSE DE OCOA,07482 - POLITECNICO JOSE NUÑEZ DE CACERES,07482,ADMINISTRACIÓN Y COMERCIO,Gestión Administrativa y Tributaria,81
03 - AZUA,0303 - SAN JOSE DE OCOA,07507 - POLITECNICO WILLIAM RADHAMES ENCARNACION MEJIA,07507,AGRARIA,Agropecuaria,41
03 - AZUA,0303 - SAN JOSE DE OCOA,07507 - POLITECNICO WILLIAM RADHAMES ENCARNACION MEJIA,07507,SALUD,Cuidados de Enfermería y Promoción de la Salud,31
03 - AZUA,0303 - SAN JOSE DE OCOA,07507 - POLITECNICO WILLIAM RADHAMES ENCARNACION MEJIA,07507,INFORMÁTICA Y COMUNICACIONES,Desarrollo y administración de aplicaciones informáticas,49
03 - AZUA,0303 - SAN JOSE DE OCOA,07507 - POLITECNICO WILLIAM RADHAMES ENCARNACION MEJIA,07507,ADMINISTRACIÓN Y COMERCIO,Gestión Administrativa y Tributaria,33
03 - AZUA,0304 - BANI,07519 - POLITECNICO ESPIRITU SANTO - FE Y ALEGRIA,07519,ADMINISTRACIÓN Y COMERCIO,Gestión Administrativa y Tributaria,42
03 - AZUA,0304 - BANI,07519 - POLITECNICO ESPIRITU SANTO - FE Y ALEGRIA,07519,TURISMO Y HOSTELERÍA,Servicios de Alojamiento,75
03 - AZUA,0304 - BANI,07519 - POLITECNICO ESPIRITU SANTO - FE Y ALEGRIA,07519,INFORMÁTICA Y COMUNICACIONES,Soporte de Redes y Sistemas Informáticos,69
03 - AZUA,0304 - BANI,07527 - CENTRO DE FORMACION TECNICO PROFESIONAL RENE DESCARTES,07527,ADMINISTRACIÓN Y COMERCIO,Gestión Administrativa y Tributaria,2
03 - AZUA,0304 - BANI,07530 - POLITECNICO MAXIMO GOMEZ,07530,ADMINISTRACIÓN Y COMERCIO,Comercio y Mercadeo,112
03 - AZUA,0304 - BANI,07530 - POLITECNICO MAXIMO GOMEZ,07530,INFORMÁTICA Y COMUNICACIONES,Desarrollo y administración de aplicaciones informáticas,120
03 - AZUA,0304 - BANI,07530 - POLITECNICO MAXIMO GOMEZ,07530,ADMINISTRACIÓN Y COMERCIO,Gestión Administrativa y Tributaria,93
03 - AZUA,0304 - BANI,07530 - POLITECNICO MAXIMO GOMEZ,07530,INDUSTRÍAS ALIMENTARIAS Y QUÍMICAS,Industrias Alimentarias,144
03 - AZUA,0305 - NIZAO,07478 - POLITECNICO SAN FELIPE NERI FE Y ALEGRIA,07478,SEGURIDAD Y MEDIOAMBIENTE,Conservación y Protección Ambiental,75
03 - AZUA,0305 - NIZAO,07478 - POLITECNICO SAN FELIPE NERI FE Y ALEGRIA,07478,ADMINISTRACIÓN Y COMERCIO,Gestión Administrativa y Tributaria,211
04 - SAN CRISTOBAL,0401 - CAMBITA GARABITOS,07981 - POLITECNICO MARINO GARABITO,07981,AGRARIA,Agropecuaria,77
04 - SAN CRISTOBAL,0401 - CAMBITA GARABITOS,08007 - POLITECNICO CAMBITA,08007,INFORMÁTICA Y COMUNICACIONES,Desarrollo y administración de aplicaciones informáticas,150
04 - SAN CRISTOBAL,0401 - CAMBITA GARABITOS,08007 - POLITECNICO CAMBITA,08007,ADMINISTRACIÓN Y COMERCIO,Gestión Administrativa y Tributaria,73
04 - SAN CRISTOBAL,0401 - CAMBITA GARABITOS,08007 - POLITECNICO CAMBITA,08007,TURISMO Y HOSTELERÍA,Servicios Turísticos,120
04 - SAN CRISTOBAL,0402 - SAN CRISTOBAL NORTE,08118 - ACADEMIA CANAAN,08118,ADMINISTRACIÓN Y COMERCIO,Gestión Administrativa y Tributaria,49
04 - SAN CRISTOBAL,0402 - SAN CRISTOBAL NORTE,15293 - POLITECNICO EUGENIO MARIA DE HOSTOS,15293,ADMINISTRACIÓN Y COMERCIO,Gestión Administrativa y Tributaria,151
04 - SAN CRISTOBAL,0402 - SAN CRISTOBAL NORTE,15293 - POLITECNICO EUGENIO MARIA DE HOSTOS,15293,CONSTRUCCIÓN Y MINERÍA,Proyectos de Edificación y Obra Civil,117
04 - SAN CRISTOBAL,0403 - SAN CRISTOBAL SUR,07853 - CRISTIANO EL ALFARERO,07853,ADMINISTRACIÓN Y COMERCIO,Gestión Administrativa y Tributaria,69
04 - SAN CRISTOBAL,0403 - SAN CRISTOBAL SUR,07871 - INSTITUTO POLITECNICO LOYOLA,07871,AGRARIA,Agropecuaria,58
04 - SAN CRISTOBAL,0403 - SAN CRISTOBAL SUR,07871 - INSTITUTO POLITECNICO LOYOLA,07871,AGRARIA,Asistencia en Veterinaria,79
